group,filename,type,dimensions,file_size,alpha_status,transparent_pixels_percent,source_path
services-icons,SERVICE_0003_AML-Checks.png,png,1254x1254,755.3 KB,has transparent pixels,62.53,/Users/davidtaylor/Desktop/Comply my property all/iconsforcmp/SERVICE_0003_AML-Checks.png
services-icons,SERVICE_0010_----Property-Inspections.png,png,1254x1254,1014.4 KB,has transparent pixels,57.39,/Users/davidtaylor/Desktop/Comply my property all/iconsforcmp/SERVICE_0010_----Property-Inspections.png
latest-support,Feel a bit lost_.png,png,4825x3935,11.8 MB,has transparent pixels,10.9,/Users/davidtaylor/Desktop/Comply my property all/Feel a bit lost_.png
latest-support,bit lost tile.png,png,4825x3935,11.9 MB,has transparent pixels,10.9,/Users/davidtaylor/Desktop/Comply my property all/bit lost tile.png
latest-support,overcomplicating things tile.png,png,4825x3935,1.5 MB,has transparent pixels,10.9,/Users/davidtaylor/Desktop/Comply my property all/overcomplicating things tile.png
latest-support,EPC BIG TILE.png,png,4825x3935,11.6 MB,has transparent pixels,10.9,/Users/davidtaylor/Desktop/Comply my property all/EPC BIG TILE.png
latest-support,mk-assets-20584440-automatedtasks-26-10-22.png,png,2200x1240,113.6 KB,alpha channel but fully opaque,0.0,/Users/davidtaylor/Desktop/Comply my property all/mk-assets-20584440-automatedtasks-26-10-22.png
how-it-works,how it works png.png,png,4961x3508,1.7 MB,has transparent pixels,0.2,/Users/davidtaylor/Desktop/Comply my property all/how it works png.png
dashboard-product,dashboard png.png,png,4961x3508,918.3 KB,has transparent pixels,56.61,/Users/davidtaylor/Desktop/Comply my property all/dashboard png.png
dashboard-product,cmp-dashboard-preview.png,png,1536x1024,1.5 MB,opaque/no alpha channel,0,/Users/davidtaylor/Desktop/VIBECODE/David-s-website/assets/cmp-dashboard-preview.png
support-human-tech,human-support-review.png,png,1536x1024,2.0 MB,opaque/no alpha channel,0,/Users/davidtaylor/Desktop/VIBECODE/David-s-website/assets/generated/public-v2-system/photos/human-support-review.png
support-human-tech,png human layer.png,png,4961x2707,10.5 MB,has transparent pixels,44.62,/Users/davidtaylor/Desktop/Comply my property all/png human layer.png
verified-inspections,01-live-verified-capture.svg,svg,1440x260,5.8 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/01-live-verified-capture.svg
verified-inspections,02-no-upload-loophole.svg,svg,1440x260,5.6 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/02-no-upload-loophole.svg
verified-inspections,03-room-coverage.svg,svg,1440x260,5.7 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/03-room-coverage.svg
verified-inspections,04-lidar-depth-aware.svg,svg,1440x260,5.7 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/04-lidar-depth-aware.svg
verified-inspections,05-compare-over-time.svg,svg,1440x260,5.7 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/05-compare-over-time.svg
verified-inspections,06-evidence-with-property.svg,svg,1440x260,5.8 KB,SVG/vector; preserve as original SVG,None,/Users/davidtaylor/Desktop/VIBECODE/CMP-source-assets/cmp-verified-inspections-carousel-assets/06-evidence-with-property.svg
